Job_Title,Company_name,Job_location,Company_Experience,Job_skills
GenAI Data Scientist,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-6 Yrs,"['Computer science', 'Training', 'Web technologies', 'Coding', 'Deployment', 'Automotive', 'Science', 'Computer']"
Data Scientist I,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-4 Yrs,"['Computer science', 'Training', 'deep learning', 'C++', 'Quality improvement', 'Machine learning', 'Data structures', 'Deployment']"
Senior Data Scientist,Sophos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,"['Computer science', 'Data analysis', 'GIT', 'HP data protector', 'Machine learning', 'Agile', 'Data structures', 'JIRA']"
Data Scientist,Windmill,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['Computer science', 'PDF', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Healthcare', 'Data processing', 'Natural language processing']"
Data Analytics-Corporate HR,Tata Communications,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['Data analysis', 'Performance management', 'Talent acquisition', 'HRIS', 'Analytical', 'Employee engagement', 'Workforce planning', 'Data analytics']"
Data Scientist-Immediate Joiner-L1(HAckerrank),Altimetrik,"Hybrid - Hyderabad, Chennai, Bengaluru",5-8 Yrs,"['python', 'NLP', 'generative AI', 'Machine Learning', 'SQL', 'Data', 'Natural language processing', 'Machine']"
"Senior Data Scientist, SCM",Neem Consulting Limited,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,"['Supply chain', 'Prototype', 'Analytical', 'Machine learning', 'FMCG', 'SCM', 'Data mining', 'Forecasting']"
Lead Data Scientist,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Pilot', 'Prototype', 'Simulation', 'data science', 'Machine learning', 'Mentor', 'Management', 'Operations']"
Data Scientist,Tech Mahindra,Hyderabad/Secunderabad,5-10 Yrs,"['Machine learning', 'Deep learning', 'Pytorch', 'NLP', 'Data Scientist', 'Keras', 'Python', 'TensorFlow']"
Data Scientist,Tech Mahindra,Hyderabad/Secunderabad,5-9 Yrs,"['Data Science', 'R', 'Data Evaluation', 'Machine learning', 'Data Visualization', 'troubleshooting', 'Data Collection', 'Data Modeling']"
Staff Data Scientist,Course Hero,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-9 Yrs,"['Health insurance', 'Data analysis', 'Publishing', 'data science', 'Social media', 'Fraud detection', 'Analytics', 'Monitoring']"
Data Scientist,Quinstreet Software India,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-4 Yrs,"['Digital media', 'Online media', 'tableau', 'Excel', 'Analytical', 'private label', 'Statistics', 'SQL']"
Data Scientist,Cognizant,Hybrid - Hyderabad,4-8 Yrs,"['cloud', 'python', 'data scientist', 'Machine Learning', 'Data Science', 'Text analytics', 'Data classification', 'Regression']"
Data Science - Regression/Classification,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",2-7 Yrs,"['Data Science', 'Classification', 'Regression', 'Model Building', 'Optimization', 'Logistic Regression', 'Linear Regression', 'Time Series']"
Sr Advanced Data Scientist,Honeywell,Hyderabad/Secunderabad,3-6 Yrs,"['Automation', 'GIT', 'Postgresql', 'Machine learning', 'Data structures', 'MongoDB', 'Information management', 'Analytics']"
Data Scientist,Windmill,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['Computer science', 'Data analysis', 'NoSQL', 'PDF', 'Machine learning', 'Healthcare', 'data visualization', 'Monitoring']"
Associate Data Scientist,Societe Generale,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['Automation', 'SAS', 'Infrastructure management', 'Application development', 'Data quality', 'Business process management', 'MS Office', 'Operations']"
Data Scientist,Windmill,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,"['Computer science', 'Data analysis', 'NoSQL', 'PDF', 'Machine learning', 'Healthcare', 'data visualization', 'Monitoring']"
V.I.E. Associate Data Scientist,Societe Generale,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['Automation', 'SAS', 'Infrastructure management', 'Application development', 'Data quality', 'Business process management', 'MS Office', 'Operations']"
Senior Data Scientist,Kmart,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,"['Supply chain', 'Computer science', 'Operations research', 'data science', 'Analytical', 'Machine learning', 'Agile', 'Analytics']"
